station_id,hour,value
1,6,0.256522127641394
2,6,0.4649283391545216
3,6,0.23857039624231416
4,6,0.39224978923280496
5,6,0.7877363603516785
6,6,0.18113934722388947
7,6,0.47922437673129786
8,6,0.21168252438878138
9,6,0.28694949616604315
10,6,0.2905483012936767
11,6,0.14882171102814565
12,6,0.6513308442731452
13,6,0.18464079938756311
14,6,0.26769842225701523
15,6,0.39293779356858966
16,6,0.2634599053742549
17,6,0.23000120438394903
18,6,0.6811513910634684
19,6,0.283311172891729
20,6,0.2276296296296299
21,6,0.16240716206993797
22,6,0.23642057087799034
23,6,0.30761974465316066
24,6,0.55362519571239
25,6,0.16939870566068382
26,6,0.2102272727272698
27,6,0.1718031935609437
28,6,0.5495122244971737
29,6,0.23153840703244294
30,6,0.36666263749546335
31,6,0.3980067445501662
32,6,0.22364607170099676
33,6,0.46739261820800143
34,6,0.6776105022281073
35,6,0.6640049781203653
36,6,0.21555461881247703
37,6,0.16435826408125637
38,6,0.5687582801397025
39,6,0.3703721546428996
40,6,0.18673686504590065
41,6,0.3446284475490759
42,6,0.8119996788309221
43,6,0.7422417600064167
44,6,0.6179091894496065
45,6,0.7215905897466756
46,6,0.23985134460865926
47,6,0.12268221926749362
48,6,0.19096712031795776
49,6,0.2554076839696484
50,6,0.6187157107231924
51,6,0.16574129832590792
52,6,0.30636516921594603
53,6,0.12943213296398726
54,6,0.25703743444317756
55,6,0.09072022160665061
56,6,0.13691526652967534
57,6,0.20832176950186226
58,6,0.2278754666987835
59,6,0.557966999879557
60,6,0.6007948934120227
61,6,0.6817246778273243
62,6,0.15106587980248004
63,6,0.15684864334750498
64,6,0.1770404094111411
65,6,0.06028345219388315
66,6,0.228499939342472
67,6,0.22333801784187024
68,6,0.23476454293628868
69,6,0.29887089003974343
70,6,0.39021308993307174
71,6,0.2326598819703731
72,6,0.5391133403006484
73,6,0.5224336585169993
74,6,0.5682524388775148
75,6,0.6919818138022481
76,6,0.6403772891218851
77,6,0.18690377802789016
78,6,0.739208719739857
79,6,0.6905268510712211
80,6,0.6825243887751411
81,6,0.5024027459954348
82,6,0.7007708057328488
83,6,0.7244971696977036
84,6,0.7540005620458181
85,6,0.767540131794041
86,6,0.7035282111094847
87,6,0.6787717819177636
88,6,0.6624633666546041
89,6,0.09273080530617615
90,6,0.17277135079959063
91,6,0.43578224738046706
92,6,0.7558804046730102
93,6,0.8872756834879071
94,6,0.8127694809105243
95,6,0.6521709020835771
96,6,0.5395680276205408
97,6,0.71684029868722
98,6,0.19522261030148894
99,6,0.12668111927415998
100,6,0.7763266289293451
101,6,0.5902685776225527
102,6,0.555166807178131
103,6,0.08339152119700743
104,6,0.11991271820448937
105,6,0.15325574951509904
106,6,0.343326996197718
107,6,0.48096491228070193
108,6,0.3011403508771928
110,6,0.3221874999999995
111,6,0.4619444444444447
112,6,0.7085380116959068
1,7,0.462910856914768
2,7,0.2048216885007265
3,7,0.1540574963609858
4,7,0.3517649199417782
5,7,0.4788603833090761
6,7,0.19473620375984868
7,7,0.47193492398736925
8,7,0.27506771780877437
9,7,0.40770163735597786
10,7,0.365619293974437
11,7,0.24211334788584446
12,7,0.3335253456221218
13,7,0.22550308341447817
14,7,0.33725846875252036
15,7,0.291694457918991
16,7,0.2993525531395099
17,7,0.2113360814742896
18,7,0.6528208858713266
19,7,0.40043400665206336
20,7,0.4274814814814816
21,7,0.2482321089425018
22,7,0.32749424172627045
23,7,0.3062957061731419
24,7,0.32419081100739716
25,7,0.3148093541385063
26,7,0.3137196238856999
27,7,0.34203418580376216
28,7,0.34409423364448394
29,7,0.18021646111251793
30,7,0.3539537712895358
31,7,0.3326545454545487
32,7,0.2791621217630157
33,7,0.5952465319462897
34,7,0.4051704637259633
35,7,0.33465826466310916
36,7,0.285736791080951
37,7,0.21296655356277241
38,7,0.48466735336888184
39,7,0.43595396729254987
40,7,0.36964199155183686
41,7,0.36461463887542434
42,7,0.5373767975440321
43,7,0.3948901276458234
44,7,0.34006623853952345
45,7,0.6014822892685545
46,7,0.25656471239895556
47,7,0.16919919737322117
48,7,0.18869199079122692
49,7,0.23048285471949553
50,7,0.49712888665998
51,7,0.2287471222585736
52,7,0.4479242396704229
53,7,0.16596195783862394
54,7,0.3572078918577341
55,7,0.2819205503055772
